PC1,PC2,PC3,PC4
-11.28327261,3.077038067,-0.348210034,0.093177586
-11.0346366,2.999811315,-0.422167939,0.126932554
-10.44009613,2.148761691,-0.40941395,0.209830098
-9.545443489,-0.020242314,-0.338995194,0.251980728
-8.2281856,-1.983928359,-0.357202147,0.363912528
-8.097047335,-3.164397822,-0.242661024,0.458519926
-8.054634173,-3.562173144,-0.195891163,0.509959398
-8.046940037,-3.957603199,-0.118663263,0.674376475
-7.350430953,1.945062233,-0.616549691,-0.029112742
-2.903477342,1.183873068,-0.541071017,-0.286033656
-6.014430169,-9.849368973,1.082487193,-0.057118705
6.805314577,0.868576622,-1.011722475,0.025327414
12.57442163,0.950750687,-1.091163182,0.239626788
13.75533244,0.657507149,-1.01385575,0.015652745
18.25156163,-1.093417004,-0.832410947,-0.069111291
21.5081612,-1.883285956,-0.630699163,-0.065404262
24.57830325,-2.214438573,-0.505449374,-0.272872167
27.28983111,-3.305432633,-0.316083008,-0.092079708
-10.6865119,1.760076585,-0.081295097,-0.127416457
-8.714873817,1.409465242,-0.124217519,0.014244249
-9.288079536,0.995568197,-0.086195557,-0.194108506
-8.233880446,0.198838446,-0.036731762,-0.180747628
-7.330075622,-0.574694775,0.03860479,-0.195407579
-6.23986063,-1.56586409,0.123454877,-0.176437549
-5.355234282,-2.172550582,0.150656241,-0.210594148
-4.55755293,-2.569577376,0.185368645,-0.247055915
-3.405683945,-3.476293391,0.252553991,-0.193395251
-2.449369921,-4.307157096,0.309687717,-0.170515908
-1.658042599,-4.883468991,0.341424242,-0.191610041
-0.949085844,-5.403662358,0.435330534,-0.189353785
-9.851048037,2.937810379,0.00270072,-0.210385347
-8.695619345,2.945287262,0.067299351,-0.364099852
-5.67415977,2.984585677,0.089445981,-0.298460136
-3.374507536,3.678550919,-0.050732709,-0.278659049
-1.13896547,3.735479189,0.320741563,0.160856582
1.501536457,3.570316782,0.363116104,0.119827183
4.001764512,3.573901696,0.508082758,0.184885083
6.089510934,3.219086558,0.815426042,-0.054740856
9.466354774,3.15631826,0.904527787,0.01208105
11.91273832,3.107836065,1.090653073,-0.056787612
13.84064852,2.468016649,1.033250931,0.310724322
17.02566672,2.415037898,1.256569424,0.43959344
